station,MAE,RMSE,MAPE,MMD,JSD
station1,1.053899287539411,1.5024566432874873,0.5337040744557833,0.009436529205105515,0.47040303699141
station18,0.39226250845966165,0.5032750439452581,0.26116300202657183,0.0012386808395761228,0.4440761792845796
station21,0.4657085929989345,0.5749167193074111,0.33409397464081686,0.0014527803903088277,0.4585177694978795
station12,0.677482359032757,0.9877869260908109,0.3574560826052675,0.00230018815926214,0.4825412824646094
station22,0.25112303325483465,0.3589723384083327,0.17037380480343314,0.0008123107802713303,0.44235595911465303
station4,0.7944291783211358,1.1225020263313963,0.38583570913613013,0.003295177333174415,0.4688388716963482
station11,0.8581926906808043,1.3224205587762639,0.3706394077154474,0.006373544861996816,0.405188192195426
station7,0.25191162516768206,0.3473760876791409,0.18225975292203048,0.0004273886844834429,0.47798830425534533
station8,0.3848130149627747,0.605880577952355,0.22999934606526684,0.0008671431544142738,0.44737229057261235
station9,0.552893552590467,0.7860189055390816,0.342793068654453,0.0014062572105673077,0.5009343325727675
station15,0.21690776539892737,0.30641413649966676,0.15648784180556327,0.00045182658304532275,0.44797404314837147
station10,0.2727869853608405,0.4355189726244411,0.16952614883258207,0.0006843086270695853,0.413819104370811
station13,0.7592442440991387,1.120335863475965,0.3983255180831538,0.0030198602883668713,0.38709731910602163
station20,1.797093484491752,2.657366742277604,0.537728030279716,0.04088599582434971,0.516146074518548
station17,0.3040749445926007,0.4748426333548703,0.16051014852457396,0.0012614052655508523,0.44406035276429023
station16,1.8440386498467158,2.496107403414659,0.6779972247495373,0.03745026945295393,0.48175321973270785
station2,0.37430572316975597,0.5429042182014244,0.24964637629406236,0.0008170072822464292,0.4368388666275106
station19,0.22718508962394637,0.3868526233515792,0.11475723357597309,0.001039025228848356,0.3580422025112178
station5,0.5783553616065275,0.9414849988462547,0.31488642503668024,0.0029853581695817866,0.4165047473034337
station6,1.3354278917858726,1.739994929059462,0.6690230828795952,0.0143054694555107,0.4819711869181736
station14,1.0713043369568216,1.4842307088961197,0.5099081483494573,0.011055902722329591,0.46177617568625073
station24,0.5342071743122108,0.649951295701722,0.6103171233725989,0.003710951699893217,0.5818895882381784
station3,0.12686230026507717,0.18649015032290508,0.10220695358069112,0.0002481602552311113,0.44172857023336043
station23,0.1826557185051435,0.3801245578578472,0.05176531530492205,0.0012654889701424477,0.3704234644908245
