station,MAE,RMSE,MAPE,MMD,JSD,variance
station1,1.0326076594550482,1.5075351712305332,0.5038271332129667,0.0101080131129613,0.4543155729383689,0.0006791428917511
station18,0.3714119446878774,0.4910833769351436,0.2376094959028802,0.0011594741029852,0.4532647237780905,0.0005214290316014
station21,0.3990979551302247,0.5681278307241366,0.2653004778211782,0.001285583708376,0.4616131656785327,0.0007092171078211
station12,0.6503237128181435,0.986478506426718,0.3193170288438709,0.0023326443311717,0.4679401746328863,0.0024713200841333
station22,0.2768966526032617,0.3570280311640548,0.2175059319450969,0.0008433885949414,0.4339307303929403,0.000418631377185
station4,0.7727838959345742,1.0650725281162792,0.3926816937568669,0.002795683718596,0.4751413293395321,0.0110685222508632
station11,0.8329953893478248,1.2608249532229072,0.3798214308533266,0.0052241184871149,0.4041187250091039,0.012524528828554
station7,0.2350587666192088,0.3395587437891453,0.1668031369012864,0.0003409703326042,0.4570745821120872,0.0010166929539748
station8,0.3795087005210249,0.6110181853582669,0.2244811410369556,0.0010232397077918,0.435359920769813,0.0014093037171467
station9,0.5755139279526564,0.851989382389672,0.2955365649020716,0.0026174630227149,0.4149385676336432,0.0013243894264439
station15,0.25404525375185,0.3196511148312689,0.2061737166676882,0.0005587743616142,0.4753481802200265,0.000386411536838
station10,0.2706144401233927,0.4283606284507841,0.1700386385737728,0.0006320351687181,0.4633621891379799,0.0019651393680801
station13,0.7681860538924101,1.1836307424796226,0.3353911543557088,0.0045191756789546,0.4082105418946347,0.0120912985733551
station20,1.8333316586877293,2.4460519526093,0.7086947361793109,0.031434420986244,0.5184660772577168,0.0011464770294885
station17,0.3051156669942964,0.4592837889002302,0.1690773173049359,0.0011035772499208,0.4163059658951613,0.0018598773774456
station16,2.192711707916176,2.896486360474256,0.6537443533035064,0.0594165380703843,0.511425601024245,0.0004988888278799
station2,0.3849875230851743,0.5752130663058288,0.2465129991838493,0.0010477222471729,0.4475453621872752,0.0009182793659436
station19,0.2173322906078233,0.3800850934120594,0.1084671503307362,0.0010061735739612,0.3754958101001696,0.0006071389064846
station5,0.5483177681572619,0.969016782308232,0.2903156311845686,0.0038379961094558,0.4157287895264031,0.0012107157440356
station6,1.287773952864424,1.7222181415929854,0.6198769982623707,0.0131372913738401,0.4861192163087738,0.0007092772426916
station14,1.0884998691056509,1.5222500057406496,0.508219718674005,0.0125499718676891,0.4675440306844836,0.0005232819717526
station24,0.5728033510389283,0.707881606200021,0.6507646657885834,0.0044462946398531,0.5850665487714514,0.001245045507899
station3,0.1141235551165826,0.178710267813337,0.0906775845057827,0.0002332501639872,0.433445070333262,0.0004903444526755
station23,0.1788560762198016,0.3766020781797203,0.0492879150300246,0.0012435517865851,0.3073640164770171,0.0005874451323738
