name,variance
station1,0.0010684054510325153
station2,0.001075475950481482
station3,0.0012889837669630866
station4,0.008147585829347836
station5,0.0009494329326015044
station6,0.000649773353203028
station7,0.0016139804193688661
station8,0.0020408372637749804
station9,0.0016320089158302724
station10,0.0021289245603967146
station11,0.00983514246488869
station12,0.0040359478945198235
station13,0.0024726673138910694
station14,0.0009991395602861482
station15,0.0011361149377792986
station16,0.0012971597361579519
station17,0.0030554027970864576
station18,0.0006735125669522685
station19,0.0013233176022987795
station20,0.0027358993892497956
station21,0.000653145077527269
station22,0.0008685714952846079
station23,0.0009900325315094338
station24,0.0010792328414765075
