station,MAE,RMSE,MAPE,MMD,JSD
station1,1.0766490600407355,1.5472122285929102,0.5465985416917558,0.01102315177751989,0.4723062987304697
station18,0.37021587277421253,0.4925529686052336,0.2336941527456224,0.0011704997179222687,0.44454602324427467
station21,0.40060535552075194,0.5456750260560224,0.26517016169870994,0.0011382724365804897,0.46364481817181347
station12,0.6293051862423767,0.94359496400721,0.3222169116441527,0.0018769064581769523,0.4583674545975157
station22,0.2613079604930245,0.36186579318020357,0.19318933751915837,0.000854763939400982,0.42678236758930105
station4,0.8112987583012761,1.1450668365974268,0.36765318296606264,0.004423255782338931,0.4281569292439694
station11,0.8300128598218667,1.2709429355343063,0.351186450741992,0.005899536515690196,0.3965685769499229
station7,0.23991364892406758,0.34273730591097723,0.1754003017056948,0.0003237288859521126,0.4535769020869143
station8,0.3672994039436489,0.5823535576765856,0.2193939476837028,0.0007744703254388696,0.4609768325702465
station9,0.5208031069364145,0.7937679041157211,0.2970316017002364,0.0016564589045475753,0.43140587654461543
station15,0.2286168247926861,0.3023047574026015,0.17595996030058977,0.0004334396784309025,0.4382155405808
station10,0.26532387596981055,0.4206213133611093,0.16817557677599498,0.0005676895248132308,0.4509056045702637
station13,0.7794639116757427,1.1356762186208023,0.4489599051548327,0.003030666691541395,0.3883331711359484
station20,1.8159738639803,2.5338242070009938,0.6449137829810019,0.03476621276245484,0.5394578606133906
station17,0.2971781933429907,0.46392756462992923,0.1562267786108637,0.001195161748746898,0.41750442114136394
station16,2.0453226339684005,2.6979613739037047,0.7476308393566752,0.04697783171239611,0.4978515982937171
station2,0.3920407362947469,0.5712287806570047,0.25930760388148255,0.0010506854320482262,0.44462657846324105
station19,0.21777327521318657,0.38093301471202146,0.10714464105042411,0.0009930076162385504,0.346206629704094
station5,0.553975675557202,0.9608632110695431,0.29160025026802094,0.003496018866382178,0.4076597119634859
station6,1.1844384065601454,1.6517298383256716,0.5473886360224458,0.01133370434514469,0.4646530492354898
station14,1.0842975777424824,1.5149619396540788,0.5186367170967927,0.01153534947149537,0.4876941991857085
station24,0.4829276567477559,0.6010148353661828,0.537083243209368,0.0031576290397823392,0.5732571495357645
station3,0.13370653919782488,0.18861173579840695,0.10964503378744046,0.00025763767273079274,0.46234682669920324
station23,0.18128469724712123,0.37736516183459845,0.05165465811079354,0.0012438917159460772,0.3224035072955787
