name,variance
station1,0.0006791428917511385
station2,0.0009182793659436557
station3,0.0004903444526755392
station4,0.011068522250863222
station5,0.0012107157440356875
station6,0.0007092772426916572
station7,0.0010166929539748297
station8,0.001409303717146792
station9,0.001324389426443946
station10,0.0019651393680801604
station11,0.012524528828554036
station12,0.0024713200841333517
station13,0.012091298573355107
station14,0.0005232819717526261
station15,0.000386411536838098
station16,0.0004988888278799226
station17,0.0018598773774456312
station18,0.0005214290316014169
station19,0.000607138906484653
station20,0.0011464770294885313
station21,0.000709217107821146
station22,0.0004186313771850559
station23,0.0005874451323738063
station24,0.001245045507899091
