name,variance
station1,0.0010679104126546368
station2,0.0009002176822986061
station3,0.0008871042190889974
station4,0.004283436037198121
station5,0.0011298403087771085
station6,0.0006816911817249827
station7,0.0009700082131866802
station8,0.00156566319428601
station9,0.001595604506344689
station10,0.001055104504049232
station11,0.0059374867719563275
station12,0.0020307641905913014
station13,0.002688902455412549
station14,0.0007888246689959551
station15,0.000639932366711137
station16,0.0008496507873076659
station17,0.0018271019107284421
station18,0.00030057803815649627
station19,0.0010580660166214172
station20,0.0014149670581055222
station21,0.0007264441671394167
station22,0.0005482257621939955
station23,0.0022777762035390654
station24,0.0011786364000211757
