station,MAE,RMSE,MAPE,MMD,JSD,variance
station1,1.0766490600407357,1.5472122285929102,0.5465985416917558,0.0110231517775198,0.4723062987304697,0.0010684054510325
station18,0.3702158727742125,0.4925529686052336,0.2336941527456224,0.0011704997179222,0.4445460232442746,0.0006735125669522
station21,0.4006053555207519,0.5456750260560224,0.2651701616987099,0.0011382724365804,0.4636448181718134,0.0006531450775272
station12,0.6293051862423767,0.94359496400721,0.3222169116441527,0.0018769064581769,0.4583674545975157,0.0040359478945198
station22,0.2613079604930245,0.3618657931802035,0.1931893375191583,0.0008547639394009,0.426782367589301,0.0008685714952846
station4,0.8112987583012761,1.1450668365974268,0.3676531829660626,0.0044232557823389,0.4281569292439694,0.0081475858293478
station11,0.8300128598218667,1.2709429355343065,0.351186450741992,0.0058995365156901,0.3965685769499229,0.0098351424648886
station7,0.2399136489240675,0.3427373059109772,0.1754003017056948,0.0003237288859521,0.4535769020869143,0.0016139804193688
station8,0.3672994039436489,0.5823535576765856,0.2193939476837028,0.0007744703254388,0.4609768325702465,0.0020408372637749
station9,0.5208031069364145,0.7937679041157211,0.2970316017002364,0.0016564589045475,0.4314058765446154,0.0016320089158302
station15,0.2286168247926861,0.3023047574026015,0.1759599603005897,0.0004334396784309,0.4382155405808,0.0011361149377792
station10,0.2653238759698105,0.4206213133611093,0.1681755767759949,0.0005676895248132,0.4509056045702637,0.0021289245603967
station13,0.7794639116757427,1.1356762186208025,0.4489599051548327,0.0030306666915413,0.3883331711359484,0.002472667313891
station20,1.8159738639803,2.5338242070009938,0.6449137829810019,0.0347662127624548,0.5394578606133906,0.0027358993892497
station17,0.2971781933429907,0.4639275646299292,0.1562267786108637,0.0011951617487468,0.4175044211413639,0.0030554027970864
station16,2.0453226339684005,2.6979613739037047,0.7476308393566752,0.0469778317123961,0.4978515982937171,0.0012971597361579
station2,0.3920407362947469,0.5712287806570047,0.2593076038814825,0.0010506854320482,0.444626578463241,0.0010754759504814
station19,0.2177732752131865,0.3809330147120214,0.1071446410504241,0.0009930076162385,0.346206629704094,0.0013233176022987
station5,0.553975675557202,0.9608632110695432,0.2916002502680209,0.0034960188663821,0.4076597119634859,0.0009494329326015
station6,1.1844384065601454,1.6517298383256716,0.5473886360224458,0.0113337043451446,0.4646530492354898,0.000649773353203
station14,1.0842975777424824,1.5149619396540788,0.5186367170967927,0.0115353494714953,0.4876941991857085,0.0009991395602861
station24,0.4829276567477559,0.6010148353661828,0.537083243209368,0.0031576290397823,0.5732571495357645,0.0010792328414765
station3,0.1337065391978248,0.1886117357984069,0.1096450337874404,0.0002576376727307,0.4623468266992032,0.001288983766963
station23,0.1812846972471212,0.3773651618345984,0.0516546581107935,0.001243891715946,0.3224035072955787,0.0009900325315094
