name,hour,flow,Normalized Data,150,200,100,50,0,station_number,week
station27,2024-04-03 04:00:00,1.0,0.1,0.100759029,0.102561638,0.100046292,0.018671622,0.206164092,27,1
station27,2024-04-03 05:00:00,0.0,0.0,0.002470007,-0.000201427,-0.002439551,-0.002176449,0.822828472,27,1
station27,2024-04-03 06:00:00,0.0,0.0,0.028728813,0.00088661,0.000296057,0.010925293,-0.113145396,27,1
station27,2024-04-03 07:00:00,1.0,0.1,0.10529609,0.10274931,0.105529644,0.06872341,0.201982215,27,1
station27,2024-04-03 08:00:00,1.0,0.1,0.121642843,0.109423913,0.110400878,0.105413482,-0.089648373,27,1
station27,2024-04-03 09:00:00,1.273972603,0.12739726,0.121378765,0.119816624,0.121599831,0.128311872,0.259368539,27,1
station27,2024-04-03 10:00:00,4.0,0.4,0.125014275,0.191221863,0.142235443,0.117490686,0.564041913,27,1
station27,2024-04-03 11:00:00,1.222222222,0.122222222,0.123298489,0.121299788,0.111673236,0.113026366,0.061276179,27,1
station27,2024-04-03 12:00:00,1.136363636,0.113636364,0.129502356,0.114059553,0.135584697,0.106291473,0.022123683,27,1
station27,2024-04-03 13:00:00,1.0,0.1,0.11171063,0.105191685,0.109924123,0.120706633,0.478277922,27,1
station27,2024-04-03 14:00:00,1.088235294,0.108823529,0.115260854,0.114894666,0.109088801,0.115214027,0.038209043,27,1
station27,2024-04-03 15:00:00,1.048780488,0.104878049,0.11888627,0.108778857,0.106872559,0.112227902,0.077780619,27,1
station27,2024-04-03 16:00:00,1.259259259,0.125925926,0.119798362,0.11470177,0.107561089,0.112231985,0.340411901,27,1
station27,2024-04-03 17:00:00,1.16,0.116,0.112363085,0.117076658,0.114838541,0.112165093,0.056402523,27,1
station27,2024-04-03 18:00:00,1.0,0.1,0.109949246,0.105151094,0.101099275,0.110494971,0.173163787,27,1
station27,2024-04-03 19:00:00,1.034482759,0.103448276,0.107691213,0.102701522,0.109127328,0.108336568,-0.16059798,27,1
station27,2024-04-03 20:00:00,1.057142857,0.105714286,0.107007481,0.103911802,0.105911635,0.20032832,0.480044514,27,1
station27,2024-04-03 21:00:00,1.038461538,0.103846154,0.116988346,0.103478134,0.099196255,0.114824079,0.718093514,27,1
